"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Fortaleza,Flamengo,0,18,0,10,0,5,0,7,1,0,0,0,1,0,0,0,0,0,6,0,EMPATE
Goiás,Sport Recife,0,20,0,11,0,11,0,0,0,2,0,2,3,0,6,0,0,0,1,0,CASA
Atlético Mineiro,Coritiba,32,0,30,0,21,0,0,1,0,1,4,0,2,0,8,0,10,0,3,0,CASA
Corinthians,Goiás,18,0,14,0,7,0,2,0,0,6,0,4,2,0,3,0,8,0,0,3,CASA
Fortaleza,Ceará,2,0,0,0,18,0,0,0,0,4,0,1,6,0,0,6,4,0,0,0,FORA
Flamengo,Bahia,0,8,8,0,0,0,4,0,2,0,0,3,1,0,0,5,1,0,0,5,CASA
Vasco da Gama,Santos,0,34,0,24,0,18,0,11,9,0,0,4,0,8,0,6,0,1,11,0,CASA
Bragantino,Athletico PR,18,0,27,0,34,0,11,0,0,11,9,0,12,0,17,0,13,0,0,12,FORA
Coritiba,Botafogo,0,16,0,12,0,4,5,0,0,4,0,3,0,3,0,0,0,7,0,4,FORA
Internacional,Palmeiras,0,14,0,13,0,24,9,0,7,0,0,0,0,7,0,10,0,4,0,8,CASA
Sport Recife,Grêmio,0,20,0,8,0,8,0,11,0,0,0,2,0,2,0,11,0,4,10,0,EMPATE
Atlético GO,Fluminense,0,4,1,0,6,0,0,5,0,4,2,0,4,0,18,0,5,0,3,0,CASA
São Paulo,Atlético Mineiro,0,2,7,0,8,0,2,0,0,6,0,2,5,0,0,4,2,0,0,1,CASA
Vasco da Gama,Fluminense,0,4,5,0,12,0,0,6,0,7,0,0,5,0,8,0,2,0,5,0,EMPATE
Corinthians,São Paulo,0,20,0,13,0,7,0,2,0,4,0,3,2,0,0,8,0,0,1,0,CASA
Sport Recife,Coritiba,10,0,9,0,7,0,0,7,0,1,3,0,2,0,0,3,1,0,6,0,CASA
Flamengo,Santos,12,0,25,0,24,0,0,4,0,6,0,3,0,0,0,0,2,0,2,0,CASA
Goiás,Grêmio,0,32,0,12,0,17,0,0,2,0,0,4,1,0,0,10,0,5,2,0,EMPATE
Ceará,Atlético GO,0,24,0,10,0,8,3,0,0,4,0,3,2,0,0,16,0,6,0,4,FORA
Internacional,Botafogo,0,0,3,0,0,1,0,5,2,0,0,1,0,2,7,0,0,2,5,0,CASA
Palmeiras,Bahia,16,0,17,0,0,2,5,0,2,0,0,4,2,0,0,10,0,0,0,9,CASA
Athletico PR,Atlético Mineiro,0,6,0,11,0,7,0,5,0,0,2,0,3,0,3,0,2,0,6,0,FORA
Bragantino,Fortaleza,0,4,11,0,10,0,3,0,0,0,3,0,2,0,0,9,0,3,0,1,CASA
São Paulo,Botafogo,30,0,0,14,23,0,0,7,0,12,10,0,2,0,6,0,12,0,6,0,CASA
Atlético GO,Goiás,26,0,10,0,13,0,2,0,1,0,3,0,0,3,11,0,14,0,0,5,FORA
Atlético Mineiro,Internacional,10,0,7,0,1,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,EMPATE
Grêmio,Vasco da Gama,10,0,16,0,10,0,0,2,0,2,4,0,7,0,1,0,2,0,0,0,CASA
São Paulo,Sport Recife,28,0,18,0,21,0,3,0,0,4,6,0,1,0,4,0,10,0,0,0,CASA
Coritiba,Bragantino,0,14,0,20,0,24,7,0,9,0,0,4,0,9,11,0,0,9,0,11,EMPATE
Fluminense,Athletico PR,34,0,17,0,18,0,0,1,0,3,9,0,4,0,0,0,13,0,0,2,CASA
Bahia,Ceará,8,0,13,0,0,6,5,0,2,0,0,1,0,0,9,0,2,0,0,7,FORA
Botafogo,Flamengo,0,20,0,4,0,13,8,0,3,0,1,0,0,0,6,0,0,2,0,8,FORA
Santos,Palmeiras,12,0,8,0,14,0,0,0,0,10,1,0,4,0,8,0,1,0,0,2,EMPATE
Goiás,São Paulo,0,28,0,22,0,13,0,2,3,0,1,0,0,3,1,0,0,7,3,0,FORA
Fortaleza,Corinthians,0,16,0,0,8,0,0,1,0,5,3,0,4,0,0,3,0,1,0,1,EMPATE
Fluminense,Bragantino,0,2,0,36,0,20,2,0,0,1,0,5,1,0,0,9,0,0,0,6,EMPATE
Grêmio,Goiás,30,0,31,0,25,0,3,0,0,5,6,0,9,0,0,1,6,0,0,4,CASA
Vasco da Gama,Ceará,32,0,30,0,12,0,5,0,0,2,3,0,2,0,6,0,5,0,0,3,FORA
Atlético GO,Internacional,0,6,0,3,1,0,0,3,3,0,0,4,1,0,7,0,0,1,2,0,EMPATE
Bahia,São Paulo,0,24,0,17,0,2,1,0,0,1,0,0,0,1,3,0,0,4,0,1,FORA
Santos,Sport Recife,16,0,10,0,0,0,4,0,0,4,1,0,3,0,4,0,1,0,0,7,CASA
Palmeiras,Athletico PR,16,0,35,0,26,0,0,4,0,6,3,0,7,0,0,0,9,0,2,0,CASA
Fortaleza,Goiás,18,0,9,0,19,0,0,0,0,5,6,0,5,0,0,1,2,0,0,2,EMPATE
Atlético Mineiro,Botafogo,18,0,19,0,12,0,0,4,2,0,1,0,1,0,0,4,8,0,6,0,CASA
Coritiba,Corinthians,0,0,1,0,9,0,13,0,0,3,2,0,2,0,0,4,1,0,0,13,FORA
Ceará,São Paulo,0,22,11,0,1,0,0,7,4,0,3,0,0,8,7,0,0,0,6,0,EMPATE
Sport Recife,Atlético GO,8,0,10,0,7,0,0,0,0,5,0,2,0,1,1,0,5,0,2,0,FORA
Corinthians,Grêmio,0,32,0,27,0,16,0,0,7,0,0,4,0,3,0,9,0,8,0,2,EMPATE
Internacional,Fluminense,8,0,10,0,9,0,0,2,1,0,2,0,0,1,5,0,0,0,0,1,FORA
Botafogo,Fortaleza,24,0,15,0,24,0,0,4,0,7,0,1,3,0,16,0,1,0,2,0,FORA
São Paulo,Vasco da Gama,30,0,16,0,24,0,13,0,0,12,2,0,9,0,15,0,3,0,0,12,EMPATE
Ceará,Atlético Mineiro,0,8,0,6,0,4,2,0,0,0,1,0,0,3,0,5,0,5,0,3,EMPATE
Goiás,Palmeiras,10,0,0,6,10,0,0,5,0,6,0,2,0,0,7,0,0,3,3,0,CASA
Athletico PR,Santos,22,0,31,0,20,0,0,10,0,2,1,0,7,0,0,3,7,0,8,0,CASA
Flamengo,Coritiba,14,0,13,0,18,0,4,0,0,8,5,0,6,0,3,0,0,0,0,4,CASA
Bragantino,Bahia,0,2,12,0,1,0,0,3,1,0,1,0,2,0,0,11,0,4,3,0,CASA
Vasco da Gama,Fortaleza,0,4,4,0,3,0,8,0,0,3,1,0,0,5,4,0,0,7,0,8,EMPATE
Atlético Mineiro,Athletico PR,28,0,25,0,9,0,16,0,0,7,5,0,3,0,8,0,8,0,0,16,FORA
Botafogo,Bragantino,10,0,13,0,7,0,1,0,0,0,3,0,0,0,9,0,4,0,0,3,FORA
Coritiba,Bahia,4,0,0,10,0,4,0,0,2,0,0,0,0,2,0,6,2,0,0,1,FORA
Palmeiras,Fluminense,0,6,4,0,0,0,0,7,3,0,0,1,0,6,0,0,0,2,7,0,CASA
Flamengo,Atlético GO,24,0,7,0,7,0,0,0,0,4,4,0,2,0,1,0,7,0,0,0,EMPATE
Fortaleza,São Paulo,0,2,0,6,0,16,4,0,4,0,0,1,0,0,0,8,0,1,0,3,FORA
Corinthians,Atlético Mineiro,0,30,0,40,0,21,0,17,8,0,0,2,0,1,8,0,0,0,17,0,FORA
Grêmio,Ceará,14,0,28,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,5,CASA
Goiás,Athletico PR,0,0,16,0,0,1,0,5,0,0,0,5,4,0,6,0,0,2,2,0,FORA
Sport Recife,Vasco da Gama,10,0,0,3,7,0,5,0,4,0,3,0,0,2,2,0,2,0,0,5,FORA
Santos,Internacional,0,10,0,15,2,0,0,3,3,0,0,3,0,2,0,16,0,5,4,0,CASA
Bahia,Fortaleza,0,26,0,31,0,16,0,5,0,2,4,0,1,0,0,1,0,3,4,0,CASA
Fluminense,Grêmio,18,0,1,0,1,0,2,0,4,0,1,0,0,3,0,5,0,1,0,2,FORA
Ceará,Sport Recife,12,0,20,0,25,0,0,8,0,11,4,0,11,0,0,2,8,0,4,0,EMPATE
Atlético Mineiro,Flamengo,0,36,0,26,0,11,0,6,2,0,0,5,0,0,0,8,0,4,6,0,CASA
Bahia,Botafogo,18,0,1,0,14,0,0,4,0,3,3,0,1,0,5,0,0,0,3,0,CASA
Bragantino,Santos,6,0,17,0,8,0,8,0,0,5,2,0,1,0,0,8,0,0,0,7,EMPATE
Vasco da Gama,Palmeiras,0,20,0,11,0,24,4,0,0,1,1,0,3,0,0,4,0,4,0,5,FORA
Internacional,Coritiba,24,0,38,0,12,0,6,0,3,0,1,0,0,2,8,0,6,0,0,4,EMPATE
Atlético GO,Corinthians,0,4,0,1,7,0,5,0,0,6,1,0,6,0,0,3,4,0,0,8,EMPATE
São Paulo,Goiás,30,0,10,0,19,0,10,0,0,7,9,0,2,0,2,0,8,0,0,10,CASA
Athletico PR,Fortaleza,22,0,3,0,12,0,0,6,0,2,2,0,2,0,16,0,7,0,8,0,CASA
Grêmio,Bragantino,4,0,14,0,1,0,0,3,0,0,0,4,0,0,0,2,0,1,0,3,CASA
Palmeiras,Atlético Mineiro,0,26,0,11,0,10,0,0,0,1,3,0,0,0,0,11,0,6,0,1,CASA
Goiás,Vasco da Gama,0,10,0,19,0,3,9,0,0,0,9,0,0,1,0,11,0,4,0,5,EMPATE
Santos,Bahia,0,2,8,0,0,2,0,3,5,0,0,1,0,6,0,8,0,2,4,0,CASA
Flamengo,São Paulo,18,0,16,0,13,0,0,3,0,1,2,0,0,1,10,0,2,0,1,0,FORA
Sport Recife,Athletico PR,0,18,1,0,0,9,0,2,5,0,0,0,0,0,0,5,0,3,3,0,CASA
Fortaleza,Fluminense,0,18,0,37,0,14,5,0,1,0,0,2,0,2,0,5,0,4,0,4,FORA
Corinthians,Internacional,0,28,0,27,0,11,0,4,6,0,2,0,0,3,0,1,0,2,3,0,CASA
Coritiba,Atlético GO,0,28,0,23,0,18,0,7,8,0,0,5,0,4,0,0,0,12,6,0,CASA
Botafogo,Ceará,18,0,5,0,8,0,0,1,0,0,3,0,0,1,0,1,2,0,0,1,EMPATE
Vasco da Gama,Corinthians,22,0,12,0,5,0,7,0,0,3,3,0,3,0,2,0,3,0,0,5,FORA
Botafogo,Goiás,22,0,31,0,38,0,0,10,0,3,5,0,2,0,11,0,6,0,7,0,EMPATE
Bahia,Atlético Mineiro,0,40,0,29,0,28,0,0,9,0,0,2,0,10,0,16,0,6,1,0,CASA
Bragantino,Sport Recife,8,0,17,0,24,0,0,0,0,14,0,2,9,0,5,0,2,0,0,1,CASA
Fortaleza,Palmeiras,2,0,0,6,0,15,7,0,3,0,0,1,0,0,0,4,0,6,0,6,CASA
Internacional,Vasco da Gama,12,0,9,0,6,0,0,8,0,1,2,0,0,0,0,0,2,0,7,0,CASA
Corinthians,Flamengo,0,14,0,18,0,4,0,0,0,2,4,0,5,0,0,1,7,0,1,0,FORA
São Paulo,Grêmio,6,0,0,0,0,0,0,8,3,0,0,1,0,1,0,3,0,5,8,0,EMPATE
Fluminense,Ceará,10,0,2,0,0,5,0,0,5,0,0,2,0,7,0,6,1,0,0,0,EMPATE
Coritiba,Santos,4,0,14,0,5,0,7,0,0,13,5,0,8,0,5,0,8,0,0,10,FORA
Atlético GO,Athletico PR,0,16,0,2,0,21,10,0,0,3,0,5,3,0,10,0,0,9,0,11,EMPATE
Goiás,Bahia,0,6,8,0,0,21,4,0,4,0,2,0,0,3,0,5,3,0,0,1,EMPATE
Flamengo,Bragantino,26,0,16,0,18,0,0,2,2,0,3,0,0,1,26,0,4,0,4,0,EMPATE
Atlético Mineiro,Fluminense,24,0,24,0,18,0,5,0,1,0,5,0,0,1,9,0,5,0,0,2,EMPATE
Sport Recife,Internacional,0,8,0,28,0,10,14,0,4,0,0,2,0,1,3,0,0,5,0,13,FORA
Athletico PR,Corinthians,24,0,30,0,18,0,0,5,2,0,4,0,0,1,0,6,6,0,4,0,FORA
Santos,Atlético GO,6,0,8,0,6,0,4,0,0,2,4,0,3,0,0,12,5,0,0,3,FORA
Grêmio,Botafogo,2,0,11,0,0,8,1,0,3,0,0,0,0,3,4,0,0,3,0,2,CASA
Palmeiras,Coritiba,8,0,26,0,13,0,9,0,0,10,0,0,5,0,0,1,4,0,0,9,FORA
Flamengo,Goiás,26,0,28,0,34,0,5,0,0,11,7,0,9,0,6,0,4,0,0,1,CASA
Internacional,Athletico PR,0,6,0,3,0,11,0,6,1,0,1,0,0,3,1,0,5,0,5,0,CASA
Ceará,Corinthians,0,6,5,0,4,0,0,1,0,6,1,0,6,0,0,8,0,0,0,0,CASA
Sport Recife,Botafogo,4,0,24,0,14,0,3,0,0,12,0,0,2,0,3,0,0,3,0,2,FORA
Atlético GO,Bragantino,8,0,5,0,5,0,7,0,0,7,1,0,3,0,0,5,0,3,0,5,CASA
Fluminense,Bahia,0,0,2,0,2,0,0,9,9,0,1,0,0,7,1,0,0,1,9,0,CASA
Santos,Grêmio,6,0,10,0,0,2,0,7,0,0,0,0,0,3,6,0,0,3,6,0,CASA
Atlético Mineiro,Goiás,34,0,24,0,35,0,0,7,0,13,5,0,8,0,4,0,7,0,2,0,CASA
Palmeiras,São Paulo,0,6,2,0,5,0,0,0,0,1,1,0,0,2,0,1,4,0,0,2,FORA
Coritiba,Fortaleza,0,12,0,14,7,0,0,7,0,8,0,1,1,0,0,2,0,2,5,0,EMPATE
Vasco da Gama,Flamengo,0,14,0,17,0,18,9,0,0,0,2,0,2,0,0,6,0,0,0,9,FORA
Bragantino,Internacional,2,0,0,6,4,0,3,0,0,3,0,3,1,0,3,0,5,0,0,6,FORA
Athletico PR,Ceará,16,0,10,0,8,0,1,0,0,3,0,2,4,0,4,0,0,0,0,2,EMPATE
Botafogo,Palmeiras,0,22,0,14,0,11,2,0,6,0,0,0,0,7,0,8,0,3,0,1,CASA
Fortaleza,Atlético Mineiro,0,28,0,20,0,22,13,0,13,0,0,0,0,6,0,7,0,7,0,11,CASA
São Paulo,Atlético GO,0,2,0,28,0,3,0,5,0,2,0,1,3,0,0,6,2,0,4,0,CASA
Goiás,Fluminense,0,4,0,11,0,8,0,1,0,4,1,0,3,0,0,4,1,0,4,0,FORA
Flamengo,Sport Recife,20,0,20,0,24,0,1,0,0,1,3,0,0,4,1,0,2,0,0,3,CASA
Grêmio,Coritiba,0,8,6,0,0,8,6,0,3,0,2,0,0,2,0,8,0,0,0,3,CASA
Bahia,Vasco da Gama,0,10,0,6,0,3,0,2,0,0,1,0,0,3,1,0,0,2,2,0,CASA
Corinthians,Santos,16,0,21,0,21,0,0,1,0,2,2,0,5,0,11,0,3,0,1,0,EMPATE
Atlético Mineiro,Vasco da Gama,16,0,12,0,28,0,0,18,0,9,2,0,6,0,1,0,3,0,14,0,CASA
Bahia,Sport Recife,24,0,14,0,22,0,0,3,0,3,12,0,4,0,14,0,11,0,3,0,FORA
Fortaleza,Atlético GO,12,0,10,0,2,0,4,0,0,0,4,0,2,0,1,0,7,0,0,5,EMPATE
Goiás,Santos,4,0,12,0,9,0,0,5,0,7,0,0,3,0,3,0,0,2,1,0,FORA
Flamengo,Athletico PR,0,6,0,3,9,0,2,0,0,3,1,0,0,0,0,4,0,1,0,2,CASA
Coritiba,São Paulo,0,38,0,29,0,35,2,0,6,0,0,5,0,7,0,17,0,9,0,1,EMPATE
Botafogo,Fluminense,8,0,15,0,14,0,4,0,0,4,1,0,4,0,4,0,3,0,0,1,EMPATE
Bragantino,Corinthians,0,6,9,0,0,1,0,5,0,1,0,0,2,0,2,0,0,5,4,0,EMPATE
Palmeiras,Ceará,20,0,0,2,8,0,8,0,0,2,5,0,8,0,2,0,5,0,0,9,CASA
Grêmio,Internacional,0,2,0,13,0,4,2,0,0,1,3,0,4,0,6,0,0,0,0,2,EMPATE
Botafogo,Bahia,20,0,21,0,18,0,0,4,0,1,0,0,4,0,0,1,3,0,3,0,FORA
Corinthians,Atlético GO,0,8,0,8,0,19,0,8,1,0,0,2,0,0,4,0,0,3,9,0,EMPATE
Fluminense,Coritiba,0,8,0,17,0,2,5,0,2,0,0,1,1,0,1,0,1,0,0,2,CASA
Santos,Fortaleza,4,0,0,7,5,0,9,0,0,1,2,0,2,0,0,8,4,0,0,9,EMPATE
Ceará,Goiás,16,0,20,0,14,0,0,5,0,8,1,0,2,0,14,0,4,0,0,1,EMPATE
Atlético GO,Botafogo,0,2,0,7,5,0,0,4,0,6,0,2,1,0,0,2,1,0,2,0,EMPATE
Palmeiras,Flamengo,8,0,0,7,20,0,1,0,0,9,3,0,4,0,10,0,1,0,0,2,EMPATE
Vasco da Gama,Bragantino,10,0,23,0,11,0,5,0,7,0,0,1,0,2,5,0,0,3,0,9,EMPATE
Atlético Mineiro,Grêmio,12,0,1,0,18,0,0,8,0,4,5,0,2,0,0,3,5,0,9,0,CASA
Internacional,São Paulo,0,16,21,0,0,4,0,3,11,0,0,4,0,9,0,8,0,3,1,0,EMPATE
Athletico PR,Bahia,0,2,14,0,0,1,0,4,0,6,1,0,2,0,0,8,0,5,6,0,CASA
Sport Recife,Corinthians,0,10,2,0,0,15,5,0,4,0,1,0,0,6,0,5,0,5,0,2,CASA
Sport Recife,Fluminense,0,36,0,82,0,33,0,2,6,0,0,4,0,5,0,15,0,3,0,0,CASA
Botafogo,Santos,0,6,0,2,0,10,0,0,1,0,0,8,0,7,0,0,0,2,0,0,EMPATE
Grêmio,Palmeiras,24,0,16,0,13,0,2,0,1,0,0,0,0,2,14,0,3,0,0,0,EMPATE
Coritiba,Vasco da Gama,8,0,9,0,0,2,0,2,0,0,0,2,3,0,6,0,0,0,0,1,CASA
Atlético GO,Atlético Mineiro,0,12,0,15,0,1,1,0,0,2,3,0,0,1,0,7,2,0,2,0,FORA
Bragantino,Ceará,0,20,0,13,3,0,0,15,3,0,1,0,0,0,0,13,0,4,14,0,CASA
Fortaleza,Internacional,0,24,0,32,0,15,13,0,5,0,0,0,0,5,0,4,0,4,0,11,CASA
Corinthians,Bahia,0,32,0,12,0,28,1,0,11,0,0,4,0,6,0,11,0,7,3,0,CASA
Botafogo,Vasco da Gama,6,0,0,3,7,0,0,8,3,0,2,0,1,0,0,8,1,0,9,0,FORA
Palmeiras,Sport Recife,20,0,17,0,29,0,0,3,0,7,3,0,4,0,6,0,4,0,1,0,EMPATE
Atlético Mineiro,Bragantino,24,0,23,0,18,0,0,2,0,2,0,0,0,2,0,2,5,0,0,4,CASA
Bahia,Atlético GO,0,6,2,0,0,4,2,0,3,0,0,2,0,1,1,0,0,0,0,7,FORA
Ceará,Flamengo,0,18,0,9,0,18,0,1,7,0,0,1,0,4,0,0,0,2,1,0,CASA
Goiás,Internacional,0,58,0,29,0,45,8,0,8,0,0,4,0,2,0,11,0,12,0,4,CASA
Fluminense,Corinthians,2,0,15,0,7,0,2,0,0,0,0,2,3,0,0,7,0,3,0,1,CASA
Grêmio,Fortaleza,18,0,0,8,15,0,0,1,0,7,2,0,5,0,7,0,4,0,0,2,EMPATE
Santos,São Paulo,8,0,9,0,0,5,1,0,0,3,0,0,2,0,2,0,3,0,1,0,EMPATE
Athletico PR,Coritiba,0,4,0,7,5,0,0,9,3,0,1,0,0,0,4,0,3,0,9,0,CASA
Vasco da Gama,Atlético GO,8,0,0,2,0,3,9,0,2,0,1,0,0,3,0,2,0,3,0,10,FORA
Corinthians,Palmeiras,0,2,0,2,0,10,6,0,10,0,0,3,0,1,0,0,0,1,0,3,FORA
Internacional,Ceará,22,0,19,0,1,0,1,0,0,0,8,0,2,0,3,0,7,0,1,0,CASA
Bahia,Grêmio,8,0,0,16,3,0,0,2,2,0,0,0,1,0,1,0,4,0,3,0,FORA
Fluminense,Flamengo,6,0,18,0,9,0,3,0,1,0,0,2,2,0,2,0,1,0,0,3,FORA
Santos,Atlético Mineiro,0,4,0,17,0,9,0,1,2,0,0,4,0,0,0,18,0,1,0,4,CASA
São Paulo,Bragantino,12,0,16,0,24,0,0,1,0,2,4,0,3,0,0,0,4,0,0,3,EMPATE
Fortaleza,Sport Recife,18,0,0,10,14,0,0,12,0,8,1,0,6,0,5,0,6,0,14,0,CASA
Goiás,Coritiba,4,0,0,3,6,0,0,12,0,2,4,0,6,0,11,0,7,0,15,0,EMPATE
Athletico PR,Botafogo,20,0,23,0,21,0,0,8,0,2,0,2,5,0,0,15,4,0,6,0,EMPATE
Sport Recife,Goiás,4,0,8,0,14,0,0,1,2,0,1,0,1,0,0,1,5,0,1,0,CASA
Coritiba,Atlético Mineiro,0,14,0,12,0,16,7,0,7,0,2,0,0,4,3,0,0,0,0,5,FORA
Atlético GO,Grêmio,6,0,0,11,0,2,0,2,0,3,0,0,2,0,0,10,0,0,3,0,EMPATE
Vasco da Gama,Athletico PR,0,26,0,6,0,16,8,0,0,4,0,2,1,0,3,0,0,0,0,9,CASA
São Paulo,Fluminense,6,0,11,0,11,0,0,4,0,7,0,3,2,0,8,0,1,0,5,0,CASA
Internacional,Bahia,28,0,45,0,20,0,1,0,0,0,1,0,0,0,0,4,3,0,1,0,EMPATE
Bragantino,Palmeiras,0,14,0,2,3,0,0,10,0,3,1,0,4,0,0,2,2,0,13,0,FORA
Ceará,Santos,16,0,25,0,17,0,0,1,0,3,4,0,1,0,6,0,2,0,4,0,FORA
Corinthians,Botafogo,16,0,16,0,2,0,0,8,8,0,2,0,0,3,1,0,6,0,9,0,EMPATE
Flamengo,Fortaleza,30,0,33,0,46,0,9,0,0,11,6,0,8,0,4,0,9,0,0,7,CASA
Atlético Mineiro,São Paulo,0,8,14,0,10,0,0,9,0,3,0,2,0,3,0,28,2,0,6,0,CASA
Grêmio,Sport Recife,36,0,33,0,40,0,2,0,0,13,11,0,12,0,10,0,10,0,0,2,FORA
