"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Vasco da Gama,Corinthians,10,0,2,0,6,0,0,13,1,0,2,0,0,2,2,0,6,0,13,0,EMPATE
Botafogo,Bahia,0,4,0,5,0,7,8,0,6,0,0,1,0,5,0,4,0,3,0,3,CASA
Santos,Fluminense,0,2,11,0,21,0,0,8,0,9,2,0,4,0,12,0,5,0,9,0,CASA
Fortaleza,Athletico PR,0,14,0,34,0,15,5,0,8,0,0,1,3,0,10,0,0,5,0,6,CASA
Vasco da Gama,Atlético Mineiro,12,0,12,0,17,0,0,2,0,6,1,0,7,0,9,0,4,0,1,0,FORA
Goiás,São Paulo,0,4,4,0,6,0,0,2,0,4,0,2,0,1,2,0,0,5,3,0,FORA
Cruzeiro,Ceará,10,0,31,0,20,0,5,0,0,6,0,2,1,0,4,0,0,1,0,3,CASA
Avaí,Grêmio,0,2,0,2,0,4,3,0,0,4,4,0,7,0,5,0,7,0,0,2,EMPATE
Internacional,Flamengo,0,10,1,0,0,2,3,0,0,3,1,0,3,0,9,0,0,1,0,0,CASA
Corinthians,Chapecoense,8,0,10,0,13,0,0,4,1,0,0,1,0,4,0,3,5,0,4,0,CASA
CSA,Palmeiras,0,10,0,7,0,14,1,0,10,0,0,3,0,4,0,1,0,4,0,1,EMPATE
Palmeiras,Fortaleza,4,0,15,0,22,0,2,0,0,9,0,2,3,0,0,1,5,0,0,1,CASA
Fluminense,Goiás,34,0,23,0,16,0,0,7,0,0,1,0,1,0,4,0,0,0,5,0,FORA
Ceará,CSA,8,0,38,0,28,0,0,12,0,2,1,0,1,0,0,4,0,3,11,0,CASA
Bahia,Corinthians,0,16,6,0,17,0,0,13,0,6,2,0,0,0,2,0,0,0,15,0,CASA
Athletico PR,Vasco da Gama,12,0,0,4,6,0,4,0,0,1,3,0,0,1,4,0,4,0,0,5,CASA
Grêmio,Santos,24,0,19,0,23,0,5,0,0,6,8,0,3,0,1,0,10,0,0,6,FORA
Flamengo,Cruzeiro,14,0,12,0,20,0,5,0,0,4,2,0,6,0,11,0,4,0,0,3,CASA
Atlético Mineiro,Avaí,16,0,19,0,10,0,7,0,0,3,1,0,4,0,5,0,0,0,0,4,CASA
Chapecoense,Internacional,0,10,0,14,0,17,0,2,8,0,0,2,0,6,4,0,0,2,4,0,CASA
São Paulo,Botafogo,0,22,0,24,0,5,0,17,0,2,1,0,0,1,4,0,1,0,15,0,CASA
Paraná,Internacional,0,6,0,1,1,0,2,0,0,4,3,0,5,0,7,0,0,1,0,1,EMPATE
Chapecoense,São Paulo,0,6,11,0,4,0,13,0,0,3,2,0,1,0,8,0,4,0,0,10,CASA
Bahia,Cruzeiro,0,12,8,0,10,0,0,0,0,9,0,7,5,0,0,6,0,1,5,0,EMPATE
Fluminense,América Mineiro,0,14,0,14,0,9,2,0,10,0,0,4,0,6,0,3,0,4,0,5,CASA
Ceará,Vasco da Gama,0,2,9,0,12,0,0,3,0,6,2,0,6,0,5,0,3,0,6,0,EMPATE
Sport Recife,Santos,0,2,0,3,3,0,0,5,0,0,0,2,0,4,0,7,0,0,0,2,CASA
Palmeiras,Vitória,8,0,15,0,18,0,0,6,0,5,4,0,6,0,0,8,8,0,3,0,CASA
Grêmio,Corinthians,6,0,2,0,18,0,5,0,0,4,0,0,3,0,0,7,2,0,0,6,CASA
Atlético Mineiro,Botafogo,6,0,0,4,0,0,5,0,2,0,4,0,3,0,0,9,0,3,0,4,CASA
Flamengo,Athletico PR,4,0,5,0,8,0,0,3,2,0,3,0,0,0,0,1,5,0,1,0,FORA
Botafogo,Paraná,8,0,17,0,3,0,1,0,0,2,1,0,2,0,0,2,1,0,0,3,CASA
São Paulo,Sport Recife,38,0,59,0,41,0,1,0,0,15,3,0,5,0,9,0,2,0,0,6,EMPATE
América Mineiro,Bahia,0,8,1,0,0,4,1,0,8,0,1,0,0,4,0,10,0,3,0,2,CASA
Corinthians,Chapecoense,26,0,19,0,17,0,0,0,8,0,0,3,0,2,14,0,5,0,0,0,EMPATE
Internacional,Fluminense,20,0,24,0,20,0,5,0,0,9,0,2,8,0,4,0,4,0,0,5,CASA
Cruzeiro,Flamengo,6,0,16,0,21,0,0,1,0,8,6,0,8,0,2,0,2,0,4,0,FORA
Athletico PR,Ceará,18,0,10,0,16,0,0,2,0,2,0,1,3,0,9,0,6,0,0,0,EMPATE
Vitória,Grêmio,0,8,0,19,0,20,6,0,2,0,0,4,5,0,0,10,0,2,0,6,EMPATE
Vasco da Gama,Palmeiras,0,6,0,2,0,7,2,0,8,0,2,0,0,7,0,0,0,9,0,0,FORA
Santos,Atlético Mineiro,0,6,0,7,0,7,0,6,0,0,3,0,0,0,0,4,1,0,6,0,CASA
Chapecoense,Sport Recife,0,16,0,8,0,7,0,12,0,2,2,0,0,1,0,5,1,0,7,0,CASA
Bahia,Fluminense,10,0,18,0,11,0,0,13,0,4,4,0,3,0,0,0,2,0,12,0,CASA
Vasco da Gama,São Paulo,0,24,0,18,0,8,4,0,1,0,0,3,0,2,7,0,0,4,0,4,CASA
Cruzeiro,Vitória,2,0,1,0,2,0,0,1,5,0,5,0,0,7,0,0,0,2,7,0,CASA
Athletico PR,Corinthians,2,0,0,0,7,0,0,5,0,6,5,0,3,0,3,0,3,0,5,0,CASA
Flamengo,Grêmio,0,10,0,10,0,0,0,3,3,0,2,0,0,2,0,10,4,0,3,0,CASA
Palmeiras,América Mineiro,0,2,11,0,21,0,4,0,0,12,6,0,12,0,1,0,7,0,0,6,CASA
Santos,Botafogo,0,4,0,9,8,0,0,2,0,1,2,0,1,0,3,0,4,0,2,0,EMPATE
Internacional,Atlético Mineiro,12,0,14,0,18,0,2,0,0,6,2,0,2,0,18,0,7,0,0,4,FORA
Fluminense,Ceará,16,0,16,0,9,0,4,0,2,0,0,2,2,0,0,5,0,2,0,11,EMPATE
São Paulo,Cruzeiro,10,0,28,0,13,0,5,0,0,2,2,0,1,0,0,7,2,0,0,6,CASA
Grêmio,Chapecoense,30,0,29,0,19,0,6,0,2,0,5,0,1,0,7,0,2,0,0,9,CASA
Paraná,Palmeiras,0,28,0,32,0,21,0,7,0,0,0,3,0,1,0,11,0,7,12,0,EMPATE
América Mineiro,Santos,2,0,6,0,11,0,0,6,2,0,3,0,1,0,0,1,0,2,8,0,CASA
Botafogo,Internacional,0,20,1,0,1,0,7,0,0,0,2,0,4,0,0,11,0,8,0,6,CASA
Sport Recife,Flamengo,14,0,7,0,10,0,1,0,0,6,0,1,2,0,0,7,0,2,0,2,FORA
Atlético Mineiro,Bahia,2,0,3,0,0,0,7,0,0,1,4,0,2,0,0,11,6,0,0,8,CASA
Vitória,Athletico PR,12,0,9,0,9,0,10,0,0,1,0,1,2,0,0,13,0,1,0,8,FORA
Corinthians,Vasco da Gama,0,14,0,10,0,5,0,8,0,6,0,3,1,0,2,0,0,1,10,0,CASA
Internacional,América Mineiro,0,0,0,5,0,0,1,0,0,0,1,0,0,3,8,0,3,0,0,0,CASA
São Paulo,Grêmio,22,0,19,0,23,0,0,3,0,11,3,0,4,0,10,0,0,1,2,0,EMPATE
Chapecoense,Botafogo,0,0,7,0,11,0,4,0,0,9,1,0,4,0,3,0,5,0,0,3,FORA
Flamengo,Santos,18,0,9,0,6,0,0,4,0,6,0,0,8,0,0,4,6,0,5,0,CASA
Cruzeiro,Corinthians,0,10,5,0,3,0,0,7,0,4,0,1,1,0,0,7,0,4,6,0,CASA
Sport Recife,Vitória,6,0,9,0,0,1,0,2,0,3,0,4,4,0,2,0,0,1,2,0,EMPATE
Palmeiras,Fluminense,2,0,1,0,0,0,5,0,5,0,3,0,1,0,2,0,2,0,0,3,CASA
Paraná,Atlético Mineiro,0,38,0,13,0,31,0,2,14,0,0,2,0,5,0,1,0,5,4,0,FORA
Bahia,Ceará,22,0,22,0,27,0,6,0,0,6,8,0,5,0,0,10,10,0,0,3,CASA
Vasco da Gama,Athletico PR,0,18,0,3,0,0,0,1,7,0,2,0,0,1,0,18,0,2,3,0,EMPATE
Santos,Chapecoense,14,0,3,0,0,3,9,0,0,11,0,0,9,0,27,0,0,0,0,6,FORA
Fluminense,Sport Recife,14,0,18,0,17,0,0,4,0,3,9,0,4,0,6,0,0,1,3,0,EMPATE
Atlético Mineiro,Palmeiras,4,0,12,0,8,0,0,4,0,3,5,0,4,0,1,0,2,0,7,0,EMPATE
Vitória,Bahia,8,0,5,0,0,4,9,0,3,0,1,0,0,5,10,0,0,1,0,10,EMPATE
Ceará,Internacional,0,4,0,4,2,0,3,0,0,6,3,0,8,0,3,0,1,0,0,4,EMPATE
Grêmio,Vasco da Gama,26,0,30,0,29,0,5,0,0,6,6,0,2,0,7,0,5,0,0,7,CASA
Athletico PR,Cruzeiro,0,6,0,8,0,7,2,0,0,2,0,3,3,0,0,12,0,0,0,0,CASA
Botafogo,Flamengo,0,18,0,14,0,9,0,16,6,0,0,1,0,3,0,2,1,0,14,0,CASA
América Mineiro,Paraná,22,0,30,0,27,0,0,5,0,9,0,2,9,0,7,0,7,0,0,2,FORA
Corinthians,São Paulo,0,2,0,1,0,4,11,0,4,0,2,0,2,0,4,0,5,0,0,8,EMPATE
Sport Recife,Ceará,12,0,18,0,6,0,1,0,1,0,0,2,0,0,8,0,5,0,0,1,CASA
Bahia,Chapecoense,26,0,18,0,11,0,11,0,0,3,4,0,0,1,7,0,2,0,0,9,CASA
Internacional,Athletico PR,28,0,19,0,21,0,10,0,0,11,3,0,0,0,13,0,7,0,0,8,CASA
Paraná,Vitória,0,10,0,4,0,8,3,0,4,0,0,4,0,1,0,5,0,3,0,1,EMPATE
América Mineiro,Cruzeiro,14,0,16,0,21,0,0,8,5,0,5,0,0,1,3,0,6,0,9,0,FORA
Botafogo,Corinthians,0,14,0,12,0,4,0,5,0,4,0,0,6,0,0,4,2,0,6,0,CASA
São Paulo,Flamengo,0,10,0,4,0,6,0,6,8,0,0,2,0,5,5,0,1,0,5,0,EMPATE
Palmeiras,Santos,0,18,0,17,0,2,0,3,2,0,0,0,3,0,0,4,0,2,3,0,CASA
Atlético Mineiro,Grêmio,10,0,0,5,2,0,4,0,0,5,0,5,2,0,7,0,5,0,0,0,FORA
Fluminense,Vasco da Gama,22,0,18,0,14,0,0,1,0,14,0,0,8,0,8,0,7,0,2,0,FORA
Ceará,Atlético Mineiro,0,10,0,14,0,10,9,0,3,0,2,0,0,3,11,0,0,3,0,8,CASA
Cruzeiro,Paraná,12,0,0,3,11,0,1,0,1,0,1,0,2,0,3,0,9,0,0,3,CASA
Athletico PR,Botafogo,26,0,16,0,26,0,12,0,0,12,2,0,4,0,0,0,3,0,0,13,CASA
Chapecoense,América Mineiro,0,2,6,0,4,0,12,0,2,0,3,0,2,0,0,7,0,0,0,10,CASA
Flamengo,Palmeiras,30,0,19,0,19,0,0,0,0,11,2,0,8,0,8,0,11,0,2,0,EMPATE
Corinthians,Bahia,0,0,7,0,0,3,3,0,6,0,0,0,0,1,0,3,0,0,0,4,CASA
Santos,Fluminense,32,0,18,0,12,0,0,0,0,5,5,0,3,0,3,0,10,0,0,4,CASA
Grêmio,Sport Recife,34,0,37,0,24,0,5,0,0,3,4,0,2,0,10,0,10,0,0,5,FORA
Vasco da Gama,Internacional,14,0,7,0,3,0,5,0,0,3,5,0,3,0,0,4,2,0,0,2,EMPATE
Vitória,São Paulo,28,0,15,0,17,0,16,0,0,1,0,3,1,0,0,0,0,2,0,16,FORA
Cruzeiro,Ceará,14,0,18,0,18,0,10,0,0,8,9,0,8,0,9,0,9,0,0,11,FORA
Internacional,Santos,0,2,13,0,8,0,1,0,0,3,4,0,0,2,1,0,0,2,1,0,EMPATE
Cruzeiro,Chapecoense,6,0,0,0,0,3,6,0,2,0,0,1,0,5,2,0,0,0,0,6,CASA
Paraná,Flamengo,0,26,0,16,0,17,0,3,3,0,0,0,0,1,0,15,3,0,5,0,FORA
Vitória,Corinthians,0,10,4,0,0,0,3,0,0,7,4,0,1,0,0,3,0,0,0,2,EMPATE
Fluminense,Atlético Mineiro,14,0,6,0,0,0,3,0,2,0,0,0,0,2,5,0,0,3,0,5,CASA
Palmeiras,Ceará,0,12,0,4,0,14,0,1,3,0,0,1,0,5,3,0,0,8,1,0,CASA
São Paulo,Athletico PR,0,22,0,7,8,0,0,8,0,3,3,0,0,1,0,1,0,3,6,0,EMPATE
Sport Recife,Vasco da Gama,8,0,6,0,7,0,0,0,0,6,0,0,0,1,0,9,0,3,0,1,CASA
América Mineiro,Grêmio,6,0,0,4,10,0,0,8,6,0,0,2,0,2,15,0,1,0,9,0,EMPATE
Botafogo,Bahia,22,0,12,0,6,0,11,0,0,0,5,0,0,3,9,0,6,0,0,12,FORA
Ceará,Botafogo,12,0,39,0,27,0,0,3,0,3,7,0,0,1,2,0,3,0,3,0,EMPATE
Atlético Mineiro,América Mineiro,18,0,8,0,5,0,0,0,0,3,0,6,6,0,2,0,13,0,1,0,EMPATE
Athletico PR,Sport Recife,36,0,9,0,30,0,0,0,0,9,2,0,10,0,3,0,7,0,3,0,CASA
Vasco da Gama,Cruzeiro,6,0,5,0,11,0,1,0,0,1,0,2,2,0,0,2,1,0,0,1,CASA
Palmeiras,Grêmio,0,22,0,29,0,5,1,0,0,2,3,0,0,0,4,0,0,1,0,1,CASA
Internacional,São Paulo,10,0,0,3,0,2,2,0,0,2,6,0,0,0,0,10,2,0,0,5,CASA
Chapecoense,Vitória,16,0,36,0,20,0,5,0,0,4,3,0,0,2,14,0,4,0,0,5,FORA
Bahia,Paraná,36,0,40,0,26,0,3,0,0,13,0,0,10,0,12,0,11,0,0,5,CASA
Santos,Corinthians,0,2,0,7,17,0,0,2,0,3,1,0,1,0,9,0,3,0,0,1,CASA
Flamengo,Fluminense,0,4,0,6,0,10,1,0,0,1,0,2,3,0,0,4,1,0,0,1,CASA
Botafogo,Vasco da Gama,2,0,4,0,0,1,0,1,0,8,2,0,7,0,0,4,1,0,0,0,EMPATE
Fluminense,Paraná,28,0,29,0,16,0,7,0,0,2,5,0,1,0,0,2,6,0,0,10,CASA
Grêmio,Bahia,40,0,31,0,34,0,6,0,0,4,3,0,2,0,12,0,4,0,0,11,EMPATE
São Paulo,Palmeiras,10,0,12,0,8,0,0,4,0,6,0,0,2,0,4,0,1,0,4,0,FORA
Athletico PR,América Mineiro,18,0,10,0,13,0,5,0,0,5,0,4,2,0,3,0,4,0,0,2,CASA
Chapecoense,Atlético Mineiro,0,18,1,0,0,1,0,5,0,3,0,2,0,1,1,0,0,4,5,0,CASA
Vitória,Santos,20,0,15,0,7,0,10,0,0,6,1,0,5,0,0,0,6,0,0,8,FORA
Corinthians,Flamengo,0,8,0,4,0,17,8,0,0,3,0,0,1,0,0,2,0,6,0,8,FORA
Sport Recife,Internacional,0,8,0,15,0,11,0,3,2,0,0,0,0,0,3,0,4,0,3,0,CASA
Paraná,Vasco da Gama,0,12,0,19,0,5,0,3,0,1,0,0,4,0,0,0,6,0,3,0,EMPATE
Ceará,Chapecoense,0,2,4,0,3,0,4,0,1,0,0,0,2,0,1,0,0,3,0,3,CASA
Atlético Mineiro,Sport Recife,22,0,20,0,21,0,0,4,0,0,5,0,5,0,12,0,0,0,2,0,CASA
Botafogo,São Paulo,0,10,0,12,0,10,0,3,0,1,0,2,2,0,8,0,0,0,0,0,EMPATE
Santos,Athletico PR,26,0,28,0,18,0,8,0,1,0,0,0,0,2,0,11,7,0,0,8,CASA
Internacional,Vitória,30,0,34,0,33,0,0,4,0,6,3,0,2,0,0,1,7,0,2,0,CASA
Palmeiras,Cruzeiro,6,0,0,2,11,0,1,0,0,7,1,0,6,0,1,0,5,0,0,3,CASA
Bahia,Flamengo,0,12,0,29,0,7,2,0,3,0,0,1,2,0,0,14,1,0,0,3,EMPATE
América Mineiro,Corinthians,0,20,0,4,0,9,0,2,3,0,0,5,0,3,0,16,0,4,4,0,EMPATE
Fluminense,Grêmio,12,0,1,0,5,0,4,0,0,8,0,2,3,0,0,6,5,0,0,3,FORA
Santos,Vasco da Gama,10,0,12,0,7,0,3,0,0,0,0,0,0,0,0,9,4,0,0,4,EMPATE
Chapecoense,Fluminense,14,0,12,0,14,0,0,0,0,11,0,0,4,0,6,0,5,0,0,1,FORA
Vasco da Gama,Bahia,18,0,16,0,9,0,0,2,0,5,0,0,0,2,13,0,0,4,0,1,CASA
Cruzeiro,Santos,0,2,7,0,2,0,0,6,4,0,0,4,0,3,1,0,0,2,6,0,CASA
Vitória,Botafogo,24,0,16,0,13,0,2,0,0,7,0,5,4,0,4,0,2,0,0,1,FORA
Sport Recife,Palmeiras,0,4,0,0,7,0,0,6,0,3,1,0,3,0,0,3,0,0,4,0,FORA
Athletico PR,Paraná,4,0,0,3,8,0,0,6,6,0,2,0,0,1,0,4,3,0,5,0,CASA
Flamengo,Atlético Mineiro,0,2,0,3,0,4,0,13,0,0,0,3,0,0,0,3,0,2,11,0,CASA
Corinthians,Internacional,0,0,0,3,0,7,0,2,4,0,5,0,0,2,0,6,0,1,3,0,EMPATE
Grêmio,Ceará,20,0,13,0,14,0,0,4,0,12,7,0,7,0,0,5,17,0,3,0,CASA
São Paulo,América Mineiro,16,0,6,0,30,0,0,4,0,4,1,0,5,0,2,0,4,0,4,0,EMPATE
Chapecoense,Internacional,2,0,7,0,6,0,5,0,0,2,0,0,1,0,0,5,2,0,0,1,CASA
Corinthians,Sport Recife,30,0,20,0,9,0,1,0,3,0,0,2,0,1,7,0,0,1,0,4,CASA
Cruzeiro,Atlético Mineiro,0,8,2,0,10,0,0,3,0,2,1,0,0,0,0,5,3,0,3,0,EMPATE
Athletico PR,Fluminense,2,0,0,5,9,0,0,5,0,2,1,0,0,2,7,0,2,0,2,0,CASA
Bahia,Palmeiras,0,4,0,13,0,3,0,3,1,0,2,0,0,1,0,6,3,0,4,0,EMPATE
Santos,São Paulo,0,2,0,4,2,0,0,4,0,10,3,0,2,0,13,0,0,0,0,1,EMPATE
Botafogo,América Mineiro,10,0,9,0,17,0,9,0,0,0,3,0,2,0,0,4,4,0,0,4,CASA
Vasco da Gama,Flamengo,0,22,0,6,0,17,0,5,3,0,0,1,0,7,0,9,0,7,6,0,EMPATE
Ceará,Vitória,0,8,0,6,6,0,0,0,0,2,1,0,5,0,0,3,1,0,1,0,CASA
Grêmio,Paraná,22,0,0,1,19,0,0,4,0,10,1,0,6,0,7,0,1,0,0,1,CASA
Chapecoense,Athletico PR,4,0,6,0,12,0,0,3,0,0,0,1,2,0,5,0,4,0,1,0,CASA
Atlético Mineiro,Athletico PR,0,6,0,15,0,10,0,2,2,0,0,0,0,0,1,0,0,0,0,1,CASA
Paraná,Santos,0,6,0,6,0,1,3,0,0,1,4,0,3,0,3,0,1,0,0,3,FORA
Vitória,Vasco da Gama,10,0,17,0,9,0,2,0,0,8,0,7,3,0,2,0,0,3,0,3,CASA
América Mineiro,Ceará,10,0,9,0,6,0,0,7,0,2,0,2,0,2,0,6,0,1,5,0,EMPATE
Fluminense,Botafogo,0,12,0,10,2,0,0,5,4,0,2,0,0,4,0,8,0,1,4,0,CASA
Palmeiras,Corinthians,10,0,10,0,15,0,0,4,0,0,2,0,1,0,0,0,5,0,0,2,CASA
Internacional,Grêmio,0,4,3,0,2,0,0,1,0,1,0,2,0,1,8,0,1,0,1,0,CASA
Flamengo,Chapecoense,22,0,11,0,20,0,0,6,0,6,3,0,3,0,7,0,5,0,7,0,CASA
São Paulo,Bahia,6,0,7,0,11,0,2,0,0,7,0,1,3,0,1,0,7,0,0,0,CASA
Sport Recife,Cruzeiro,8,0,0,0,9,0,0,0,0,2,3,0,0,2,0,9,4,0,0,3,EMPATE
América Mineiro,Vasco da Gama,0,16,0,8,0,7,0,8,3,0,2,0,0,0,0,15,0,1,8,0,CASA
Santos,Grêmio,4,0,0,1,4,0,0,6,0,1,0,1,0,0,1,0,4,0,6,0,EMPATE
Atlético Mineiro,São Paulo,0,16,0,9,0,13,3,0,4,0,0,3,0,2,0,17,0,7,0,1,CASA
Internacional,Flamengo,0,16,0,7,0,6,1,0,5,0,0,2,0,4,8,0,1,0,0,1,CASA
Paraná,Chapecoense,0,18,0,8,0,0,0,6,0,4,0,0,5,0,1,0,8,0,5,0,EMPATE
Palmeiras,Athletico PR,0,2,16,0,8,0,1,0,1,0,1,0,1,0,5,0,0,0,0,3,CASA
Ceará,Corinthians,0,20,0,23,0,12,0,0,0,1,4,0,2,0,0,3,3,0,1,0,CASA
Bahia,Sport Recife,0,2,0,2,1,0,0,0,0,0,4,0,0,3,0,7,4,0,0,1,CASA
Botafogo,Cruzeiro,0,4,0,13,0,4,4,0,0,3,5,0,0,0,2,0,3,0,0,3,EMPATE
Cruzeiro,Internacional,8,0,27,0,6,0,0,6,0,2,2,0,4,0,6,0,3,0,1,0,EMPATE
Chapecoense,Palmeiras,12,0,13,0,7,0,8,0,0,7,0,2,1,0,0,1,0,2,0,7,FORA
Athletico PR,Bahia,16,0,0,3,17,0,0,6,0,8,5,0,5,0,14,0,2,0,4,0,CASA
São Paulo,Fluminense,0,6,7,0,3,0,2,0,2,0,3,0,0,2,9,0,0,0,0,2,EMPATE
Sport Recife,Paraná,4,0,0,6,0,6,0,4,3,0,5,0,0,2,0,2,8,0,6,0,CASA
Flamengo,Ceará,24,0,26,0,29,0,0,4,0,7,6,0,8,0,11,0,11,0,3,0,FORA
Corinthians,Atlético Mineiro,14,0,14,0,12,0,8,0,0,1,0,0,0,1,0,1,3,0,0,6,EMPATE
Vasco da Gama,Santos,20,0,25,0,18,0,0,2,0,1,2,0,6,0,3,0,5,0,1,0,FORA
Vitória,América Mineiro,10,0,8,0,11,0,0,8,0,6,5,0,4,0,0,19,2,0,10,0,CASA
Grêmio,Botafogo,14,0,16,0,7,0,4,0,0,3,2,0,0,3,0,11,0,1,0,5,CASA
Athletico PR,Vasco da Gama,10,0,0,8,10,0,0,2,5,0,0,2,0,6,5,0,3,0,3,0,CASA
Ceará,Bahia,22,0,30,0,30,0,10,0,0,13,5,0,8,0,11,0,9,0,0,9,FORA
Vasco da Gama,Chapecoense,4,0,1,0,0,2,3,0,3,0,0,0,1,0,0,0,2,0,0,2,CASA
América Mineiro,Flamengo,0,4,13,0,4,0,0,2,0,8,0,4,5,0,14,0,0,3,2,0,EMPATE
Vitória,Atlético Mineiro,0,14,0,14,0,9,0,7,5,0,0,2,0,4,0,13,2,0,4,0,CASA
Internacional,Palmeiras,14,0,0,9,0,18,10,0,4,0,4,0,0,9,4,0,1,0,0,9,EMPATE
São Paulo,Ceará,18,0,25,0,19,0,11,0,0,6,2,0,7,0,0,18,3,0,0,9,CASA
Cruzeiro,Fluminense,0,6,12,0,14,0,0,5,0,8,0,1,3,0,0,4,1,0,5,0,CASA
